commit	policy	task	success_rate	avg_reward	vram_gb	training_min	steps	status	description
c7275a1	diffusion	PushT-v0	6.00	47.307	0.0	35.1	28405	baseline	default diffusion on PushT-v0
814f618	act	PushT-v0	0.00	25.836	0.0	35.1	16922	baseline	default act on PushT-v0
5dcae14	vqbet	PushT-v0	0.00	1.909	0.0	35.1	25970	baseline	default vqbet on PushT-v0
7fb27b8	diffusion	AlohaTransferCube-v0	2.00	29.360	0.0	65.1	10682	baseline	default diffusion on AlohaTransferCube-v0
ee4f0ea	act	AlohaTransferCube-v0	22.00	94.200	0.0	65.1	15213	baseline	default act on AlohaTransferCube-v0
5bf4180	vqbet	AlohaTransferCube-v0	0.00	0.000	0.0	65.1	7570	baseline	default vqbet on AlohaTransferCube-v0
4083c68	diffusion	AlohaInsertion-v0	0.00	6.340	0.0	65.1	11018	baseline	default diffusion on AlohaInsertion-v0
f0cd1ec	act	AlohaInsertion-v0	4.00	116.000	0.0	65.1	15616	discard	default act on AlohaInsertion-v0
b9f8d1b	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 10% (20 episodes)
ae1b3fe	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 25% (51 episodes)
a3784a0	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 50% (103 episodes)
c181b77	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 100% (206 episodes)
faa51f6	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 10% (20 episodes)
fca5fbe	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 25% (51 episodes)
d60d984	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 50% (103 episodes)
dbae0d5	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 100% (206 episodes)
11dd80a	vqbet	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 10% (20 episodes)
6ce7061	vqbet	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 25% (51 episodes)
34211ff	vqbet	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 50% (103 episodes)
1744792	vqbet	PushT-v0	0.00	0.000	0.0	0.3	0	crash	data_efficiency 100% (206 episodes)
36c3ae2	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=2000
51a6cdc	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=3000
50f62bb	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=4000
0613311	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=5000
2769c46	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=2000
5ac84f6	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=3000
87a676d	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=4000
d6cc740	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=5000
c696178	vqbet	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=2000
80ce5de	vqbet	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=3000
0f0ce2e	vqbet	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=4000
41db9b5	vqbet	PushT-v0	0.00	0.000	0.0	0.3	0	crash	seed_sensitivity seed=5000
7349fee	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	horizon_sweep horizon=4 n_action_steps=2
3e4b31f	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	horizon_sweep horizon=8 n_action_steps=4
c046a2d	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	horizon_sweep horizon=16 n_action_steps=8
f1a1ee9	diffusion	PushT-v0	0.00	0.000	0.0	0.3	0	crash	horizon_sweep horizon=32 n_action_steps=16
e5ce06f	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	horizon_sweep horizon=4 n_action_steps=2
c3f0cde	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	horizon_sweep horizon=8 n_action_steps=4
13471b9	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	horizon_sweep horizon=16 n_action_steps=8
f4e6736	act	PushT-v0	0.00	0.000	0.0	0.3	0	crash	horizon_sweep horizon=32 n_action_steps=16
